country,station,ds,y,elevation,coord,lat,lon
Algeria,Bordj Badj Mokhtar,1995-05-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1995-06-01,35.65,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1995-07-01,36.25,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1995-08-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1995-09-01,33.85,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1995-10-01,29,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1995-11-01,23.3,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1995-12-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1996-01-01,19.4,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1996-02-01,20.75,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1996-03-01,23.55,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1996-04-01,27.9,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1996-05-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1996-06-01,34.8,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1996-07-01,36.05,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1996-08-01,35.25,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1996-09-01,34.85,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1996-10-01,29.2,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1996-11-01,22.05,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1996-12-01,19.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1997-01-01,19.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1997-02-01,19.09,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1997-03-01,21.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1997-04-01,25.95,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1997-05-01,33.1,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1997-06-01,36.05,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1997-07-01,36.45,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1997-08-01,35.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1997-09-01,33.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1997-10-01,29.4,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1997-11-01,23.45,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1997-12-01,17.8,399,"0.95 E, 21.333 N",0.95,21.333
